D:\Application\Anaconda3\envs\torch\python.exe C:/Users/meiyan/Desktop/VirtualBackground/find_lr.py
0/1375, loss:0.2944, lr:1e-08
1/1375, loss:0.2757, lr:1.0117912262212378e-08
2/1375, loss:0.2726, lr:1.023721485458276e-08
3/1375, loss:0.2687, lr:1.0357924170808561e-08
4/1375, loss:0.2820, lr:1.0480056797888992e-08
5/1375, loss:0.2736, lr:1.0603629518404323e-08
6/1375, loss:0.2823, lr:1.0728659312822024e-08
7/1375, loss:0.2784, lr:1.0855163361830099e-08
8/1375, loss:0.2871, lr:1.098315904869793e-08
9/1375, loss:0.2760, lr:1.1112663961664963e-08
10/1375, loss:0.2768, lr:1.1243695896357552e-08
11/1375, loss:0.2784, lr:1.1376272858234307e-08
12/1375, loss:0.2710, lr:1.1510413065060276e-08
13/1375, loss:0.2650, lr:1.1646134949410293e-08
14/1375, loss:0.2670, lr:1.1783457161201853e-08
15/1375, loss:0.2657, lr:1.192239857025785e-08
16/1375, loss:0.2796, lr:1.2062978268899523e-08
17/1375, loss:0.2795, lr:1.2205215574569993e-08
18/1375, loss:0.2754, lr:1.2349130032488723e-08
19/1375, loss:0.2602, lr:1.249474141833728e-08
20/1375, loss:0.2667, lr:1.2642069740976765e-08
21/1375, loss:0.2809, lr:1.2791135245197288e-08
22/1375, loss:0.2752, lr:1.2941958414499858e-08
23/1375, loss:0.2632, lr:1.3094559973911079e-08
24/1375, loss:0.2627, lr:1.324896089283103e-08
25/1375, loss:0.2748, lr:1.3405182387914734e-08
26/1375, loss:0.2768, lr:1.356324592598759e-08
27/1375, loss:0.2782, lr:1.3723173226995194e-08
28/1375, loss:0.2687, lr:1.3884986266987929e-08
29/1375, loss:0.2750, lr:1.4048707281140763e-08
30/1375, loss:0.2752, lr:1.4214358766808646e-08
31/1375, loss:0.2707, lr:1.4381963486617923e-08
32/1375, loss:0.2584, lr:1.4551544471594218e-08
33/1375, loss:0.2698, lr:1.4723125024327189e-08
34/1375, loss:0.2702, lr:1.4896728722172598e-08
35/1375, loss:0.2751, lr:1.507237942049215e-08
36/1375, loss:0.2793, lr:1.52501012559315e-08
37/1375, loss:0.2686, lr:1.5429918649736974e-08
38/1375, loss:0.2681, lr:1.561185631111132e-08
39/1375, loss:0.2723, lr:1.579593924060909e-08
40/1375, loss:0.2735, lr:1.598219273357204e-08
41/1375, loss:0.2823, lr:1.617064238360501e-08
42/1375, loss:0.2782, lr:1.6361314086092833e-08
43/1375, loss:0.2734, lr:1.655423404175868e-08
44/1375, loss:0.2699, lr:1.6749428760264372e-08
45/1375, loss:0.2728, lr:1.6946925063853157e-08
46/1375, loss:0.2572, lr:1.7146750091035416e-08
47/1375, loss:0.2803, lr:1.7348931300317844e-08
48/1375, loss:0.2761, lr:1.7553496473976606e-08
49/1375, loss:0.2648, lr:1.7760473721874965e-08
50/1375, loss:0.2648, lr:1.7969891485325943e-08
51/1375, loss:0.2805, lr:1.8181778541000518e-08
52/1375, loss:0.2743, lr:1.83961640048819e-08
53/1375, loss:0.2646, lr:1.8613077336266456e-08
54/1375, loss:0.2769, lr:1.883254834181177e-08
55/1375, loss:0.2809, lr:1.9054607179632472e-08
56/1375, loss:0.2684, lr:1.9279284363444342e-08
57/1375, loss:0.2752, lr:1.9506610766757288e-08
58/1375, loss:0.2840, lr:1.9736617627117757e-08
59/1375, loss:0.2779, lr:1.996933655040117e-08
60/1375, loss:0.2707, lr:2.0204799515154986e-08
61/1375, loss:0.2725, lr:2.0443038876992935e-08
62/1375, loss:0.2783, lr:2.0684087373041118e-08
63/1375, loss:0.2765, lr:2.0927978126436496e-08
64/1375, loss:0.2723, lr:2.1174744650878424e-08
65/1375, loss:0.2664, lr:2.142442085523388e-08
66/1375, loss:0.2726, lr:2.1677041048196948e-08
67/1375, loss:0.2665, lr:2.1932639943003298e-08
68/1375, loss:0.2740, lr:2.2191252662200208e-08
69/1375, loss:0.2769, lr:2.2452914742472856e-08
70/1375, loss:0.2636, lr:2.271766213952752e-08
71/1375, loss:0.2664, lr:2.2985531233032337e-08
72/1375, loss:0.2704, lr:2.3256558831616348e-08
73/1375, loss:0.2866, lr:2.3530782177927464e-08
74/1375, loss:0.2642, lr:2.380823895375008e-08
75/1375, loss:0.2727, lr:2.4088967285183034e-08
76/1375, loss:0.2667, lr:2.4373005747878626e-08
77/1375, loss:0.2712, lr:2.4660393372343395e-08
78/1375, loss:0.2609, lr:2.495116964930141e-08
79/1375, loss:0.2655, lr:2.524537453512081e-08
80/1375, loss:0.2611, lr:2.5543048457304295e-08
81/1375, loss:0.2701, lr:2.584423232004441e-08
82/1375, loss:0.2800, lr:2.614896750984428e-08
83/1375, loss:0.2674, lr:2.6457295901204653e-08
84/1375, loss:0.2755, lr:2.6769259862377984e-08
85/1375, loss:0.2705, lr:2.7084902261190384e-08
86/1375, loss:0.2685, lr:2.7404266470932197e-08
87/1375, loss:0.2739, lr:2.7727396376318042e-08
88/1375, loss:0.2682, lr:2.8054336379517138e-08
89/1375, loss:0.2825, lr:2.8385131406254727e-08
90/1375, loss:0.2746, lr:2.871982691198544e-08
91/1375, loss:0.2587, lr:2.9058468888139458e-08
92/1375, loss:0.2764, lr:2.9401103868442313e-08
93/1375, loss:0.2640, lr:2.9747778935309227e-08
94/1375, loss:0.2663, lr:3.009854172631483e-08
95/1375, loss:0.2733, lr:3.045344044073918e-08
96/1375, loss:0.2751, lr:3.0812523846190927e-08
97/1375, loss:0.2772, lr:3.117584128530865e-08
98/1375, loss:0.2862, lr:3.154344268254113e-08
99/1375, loss:0.2760, lr:3.1915378551007624e-08
100/1375, loss:0.2737, lr:3.2291699999439e-08
101/1375, loss:0.2727, lr:3.267245873920073e-08
102/1375, loss:0.2684, lr:3.3057707091398706e-08
103/1375, loss:0.2708, lr:3.3447497994068806e-08
104/1375, loss:0.2851, lr:3.384188500945127e-08
105/1375, loss:0.2702, lr:3.424092233135083e-08
106/1375, loss:0.2795, lr:3.464466479258362e-08
107/1375, loss:0.2722, lr:3.505316787251193e-08
108/1375, loss:0.2607, lr:3.546648770466775e-08
109/1375, loss:0.2693, lr:3.588468108446623e-08
110/1375, loss:0.2777, lr:3.630780547701015e-08
111/1375, loss:0.2615, lr:3.673591902498628e-08
112/1375, loss:0.2797, lr:3.7169080556654964e-08
113/1375, loss:0.2690, lr:3.7607349593933894e-08
114/1375, loss:0.2775, lr:3.805078636057715e-08
115/1375, loss:0.2896, lr:3.8499451790450704e-08
116/1375, loss:0.2794, lr:3.895340753590555e-08
117/1375, loss:0.2742, lr:3.941271597624948e-08
118/1375, loss:0.2754, lr:3.9877440226318834e-08
119/1375, loss:0.2660, lr:4.034764414515125e-08
120/1375, loss:0.2778, lr:4.0823392344760733e-08
121/1375, loss:0.2738, lr:4.130475019901616e-08
122/1375, loss:0.2826, lr:4.179178385262448e-08
123/1375, loss:0.2853, lr:4.2284560230219846e-08
124/1375, loss:0.2669, lr:4.278314704555993e-08
125/1375, loss:0.2782, lr:4.3287612810830606e-08
126/1375, loss:0.2787, lr:4.379802684606046e-08
127/1375, loss:0.2706, lr:4.431445928864621e-08
128/1375, loss:0.2762, lr:4.4836981102990475e-08
129/1375, loss:0.2745, lr:4.53656640902532e-08
130/1375, loss:0.2662, lr:4.5900580898218063e-08
131/1375, loss:0.2732, lr:4.6441805031275183e-08
132/1375, loss:0.2705, lr:4.698941086052157e-08
133/1375, loss:0.2764, lr:4.7543473633980675e-08
134/1375, loss:0.2775, lr:4.81040694869424e-08
135/1375, loss:0.2721, lr:4.867127545242508e-08
136/1375, loss:0.2790, lr:4.92451694717608e-08
137/1375, loss:0.2865, lr:4.982583040530553e-08
138/1375, loss:0.2829, lr:5.0413338043275514e-08
139/1375, loss:0.2671, lr:5.100777311671151e-08
140/1375, loss:0.2833, lr:5.160921730857223e-08
141/1375, loss:0.2656, lr:5.221775326495863e-08
142/1375, loss:0.2691, lr:5.283346460647054e-08
143/1375, loss:0.2866, lr:5.3456435939697196e-08
144/1375, loss:0.2753, lr:5.408675286884327e-08
145/1375, loss:0.2714, lr:5.472450200749199e-08
146/1375, loss:0.2731, lr:5.536977099050691e-08
147/1375, loss:0.2762, lr:5.602264848607411e-08
148/1375, loss:0.2703, lr:5.66832242078863e-08
149/1375, loss:0.2646, lr:5.7351588927470634e-08
150/1375, loss:0.2752, lr:5.802783448666188e-08
151/1375, loss:0.2799, lr:5.871205381022266e-08
152/1375, loss:0.2776, lr:5.940434091861248e-08
153/1375, loss:0.2713, lr:6.010479094090737e-08
154/1375, loss:0.2725, lr:6.081350012787182e-08
155/1375, loss:0.2758, lr:6.153056586518483e-08
156/1375, loss:0.2665, lr:6.2256086686822e-08
157/1375, loss:0.2842, lr:6.299016228859531e-08
158/1375, loss:0.2799, lr:6.373289354185263e-08
159/1375, loss:0.2653, lr:6.448438250733869e-08
160/1375, loss:0.2597, lr:6.524473244921955e-08
161/1375, loss:0.2789, lr:6.601404784927243e-08
162/1375, loss:0.2717, lr:6.679243442124282e-08
163/1375, loss:0.2690, lr:6.757999912537089e-08
164/1375, loss:0.2725, lr:6.837685018308919e-08
165/1375, loss:0.2839, lr:6.918309709189369e-08
166/1375, loss:0.2686, lr:6.999885064039008e-08
167/1375, loss:0.2840, lr:7.082422292351756e-08
168/1375, loss:0.2729, lr:7.165932735795213e-08
169/1375, loss:0.2670, lr:7.250427869769148e-08
170/1375, loss:0.2653, lr:7.335919304982364e-08
171/1375, loss:0.2764, lr:7.422418789048158e-08
172/1375, loss:0.2761, lr:7.50993820809859e-08
173/1375, loss:0.2669, lr:7.598489588417798e-08
174/1375, loss:0.2820, lr:7.688085098094553e-08
175/1375, loss:0.2771, lr:7.778737048694313e-08
176/1375, loss:0.2786, lr:7.870457896950992e-08
177/1375, loss:0.2723, lr:7.963260246478669e-08
178/1375, loss:0.2711, lr:8.057156849503489e-08
179/1375, loss:0.2762, lr:8.15216060861598e-08
180/1375, loss:0.2791, lr:8.248284578544036e-08
181/1375, loss:0.2804, lr:8.345541967946795e-08
182/1375, loss:0.2613, lr:8.443946141229691e-08
183/1375, loss:0.2682, lr:8.543510620380879e-08
184/1375, loss:0.2643, lr:8.644249086829339e-08
185/1375, loss:0.2787, lr:8.746175383324873e-08
186/1375, loss:0.2766, lr:8.849303515840278e-08
187/1375, loss:0.2685, lr:8.953647655495945e-08
188/1375, loss:0.2654, lr:9.059222140507154e-08
189/1375, loss:0.2766, lr:9.16604147815432e-08
190/1375, loss:0.2642, lr:9.274120346776487e-08
191/1375, loss:0.2646, lr:9.383473597788314e-08
192/1375, loss:0.2715, lr:9.494116257720848e-08
193/1375, loss:0.2763, lr:9.606063530286366e-08
194/1375, loss:0.2694, lr:9.719330798467555e-08
195/1375, loss:0.2884, lr:9.83393362663133e-08
196/1375, loss:0.2676, lr:9.949887762667579e-08
197/1375, loss:0.2799, lr:1.0067209140153119e-07
198/1375, loss:0.2762, lr:1.0185913880541178e-07
199/1375, loss:0.2748, lr:1.0306018295376686e-07
200/1375, loss:0.2788, lr:1.0427538888537689e-07
201/1375, loss:0.2775, lr:1.0550492358503192e-07
202/1375, loss:0.2733, lr:1.0674895600647744e-07
203/1375, loss:0.2846, lr:1.0800765709563078e-07
204/1375, loss:0.2772, lr:1.0928119981407125e-07
205/1375, loss:0.2682, lr:1.1056975916280725e-07
206/1375, loss:0.2722, lr:1.118735122063237e-07
207/1375, loss:0.2706, lr:1.1319263809691287e-07
208/1375, loss:0.2679, lr:1.1452731809929228e-07
209/1375, loss:0.2611, lr:1.158777356155127e-07
210/1375, loss:0.2593, lr:1.1724407621015999e-07
211/1375, loss:0.2834, lr:1.1862652763585404e-07
212/1375, loss:0.2697, lr:1.2002527985904832e-07
213/1375, loss:0.2754, lr:1.2144052508613373e-07
214/1375, loss:0.2686, lr:1.2287245778985024e-07
215/1375, loss:0.2823, lr:1.2432127473600986e-07
216/1375, loss:0.2622, lr:1.257871750105348e-07
217/1375, loss:0.2728, lr:1.2727036004681446e-07
218/1375, loss:0.2762, lr:1.2877103365338485e-07
219/1375, loss:0.2800, lr:1.3028940204193455e-07
220/1375, loss:0.2621, lr:1.318256738556408e-07
221/1375, loss:0.2659, lr:1.333800601978398e-07
222/1375, loss:0.2791, lr:1.3495277466103484e-07
223/1375, loss:0.2777, lr:1.3654403335624683e-07
224/1375, loss:0.2817, lr:1.3815405494271058e-07
225/1375, loss:0.2732, lr:1.397830606579214e-07
226/1375, loss:0.2706, lr:1.4143127434803594e-07
227/1375, loss:0.2766, lr:1.4309892249863158e-07
